                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4914,                 3.6913,                 2.6172,                0.48869,                0.30153,                0.28162,                0.16572,                 2.9764,                 9.2784,                 2.8852,             0.00019491,             0.00019491,             0.00019491
                      2,                 2.3093,                 1.9849,                 2.4824,                0.52347,                0.26648,                0.29078,                0.16237,                 2.9503,                 3.3492,                 2.7961,             0.00037156,             0.00037156,             0.00037156
                      3,                  2.276,                 1.8357,                 2.4686,                0.53283,                0.26933,                 0.2796,                0.15424,                 3.3888,                 3.3571,                 2.9419,              0.0005288,              0.0005288,              0.0005288
                      4,                 2.2199,                 1.6871,                 2.4535,                0.54088,                0.33284,                 0.2759,                0.15667,                 3.0963,                 4.2668,                 2.8257,             0.00050068,             0.00050068,             0.00050068
                      5,                 2.1117,                  1.526,                  2.395,                0.53358,                0.37683,                0.31557,                0.17603,                 3.0337,                 3.4289,                 2.7872,             0.00047158,             0.00047158,             0.00047158
                      6,                 2.0489,                 1.4105,                 2.3541,                0.48141,                 0.3076,                0.26847,                 0.1693,                 2.6963,                 3.5823,                 2.6372,             0.00044247,             0.00044247,             0.00044247
                      7,                 1.9683,                 1.2885,                 2.3118,                0.38471,                0.32241,                0.34135,                0.20313,                 2.9392,                  2.747,                 2.7249,             0.00041336,             0.00041336,             0.00041336
                      8,                  1.906,                 1.2283,                 2.2843,                0.56876,                0.33203,                0.31025,                0.18829,                 2.9727,                 3.5137,                 2.7917,             0.00038426,             0.00038426,             0.00038426
                      9,                 1.8571,                 1.1499,                 2.2567,                0.33049,                0.37175,                0.33856,                0.20015,                 3.1384,                 3.7302,                 2.8891,             0.00035515,             0.00035515,             0.00035515
                     10,                 1.8037,                 1.0921,                 2.2345,                  0.609,                0.30423,                0.35035,                0.22217,                 2.9469,                 3.5126,                 2.7957,             0.00032605,             0.00032605,             0.00032605
                     11,                 1.7773,                0.96516,                 2.2079,                 0.5264,                0.35091,                0.30633,                 0.1935,                 2.7115,                 3.0756,                  2.737,             0.00029694,             0.00029694,             0.00029694
                     12,                 1.7347,                0.87404,                 2.1725,                0.35366,                0.37217,                0.32513,                0.20891,                 2.6229,                 3.1187,                 2.6892,             0.00026783,             0.00026783,             0.00026783
                     13,                   1.65,                0.82281,                 2.1546,                0.57376,                0.42574,                 0.3309,                0.21356,                 2.7722,                 3.9692,                 2.8021,             0.00023873,             0.00023873,             0.00023873
                     14,                 1.6154,                 0.7715,                  2.115,                0.54419,                 0.3281,                0.31371,                 0.1993,                 2.7242,                 3.7444,                 2.7474,             0.00020962,             0.00020962,             0.00020962
                     15,                 1.5469,                0.73211,                 2.0847,                0.35217,                0.35684,                 0.3283,                0.21715,                 2.6888,                 3.2845,                 2.6864,             0.00018052,             0.00018052,             0.00018052
                     16,                 1.4993,                0.68604,                  2.069,                0.55571,                0.32711,                0.34317,                0.22126,                  2.785,                 3.2567,                 2.7414,             0.00015141,             0.00015141,             0.00015141
                     17,                 1.4553,                 0.6492,                  2.051,                0.55945,                0.32417,                0.33998,                0.22117,                 2.7133,                 3.6773,                  2.707,              0.0001223,              0.0001223,              0.0001223
                     18,                 1.4081,                0.61714,                 2.0302,                0.57488,                0.30383,                0.33274,                0.21612,                 2.6935,                 3.6822,                 2.7436,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     19,                 1.3695,                0.59792,                 2.0166,                0.33937,                 0.3435,                0.33913,                0.22009,                 2.6368,                 3.4629,                 2.7197,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     20,                 1.3293,                 0.5692,                 1.9979,                0.55009,                0.34309,                 0.3614,                0.23797,                 2.6425,                 3.4634,                 2.6986,             3.4986e-05,             3.4986e-05,             3.4986e-05
