                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5669,                  4.435,                 2.5275,                0.59856,                0.29568,                0.30504,                0.18062,                 2.8285,                 2.8288,                 2.5409,             0.00019491,             0.00019491,             0.00019491
                      2,                 2.2757,                 1.9244,                 2.3148,                0.57619,                0.31046,                0.34343,                0.21313,                 3.0092,                 2.8683,                 2.4917,             0.00037156,             0.00037156,             0.00037156
                      3,                 2.2502,                 1.7511,                  2.305,                0.40363,                0.36294,                0.37332,                0.20716,                 3.1251,                 2.9261,                 2.6102,              0.0005288,              0.0005288,              0.0005288
                      4,                 2.1973,                   1.65,                 2.2785,                0.55485,                0.28585,                0.28208,                0.16479,                 2.8338,                 3.7854,                 2.5765,             0.00050068,             0.00050068,             0.00050068
                      5,                 2.1061,                 1.5255,                 2.2366,                0.53491,                0.29925,                0.30138,                0.17618,                 2.8763,                 3.3714,                 2.5212,             0.00047158,             0.00047158,             0.00047158
                      6,                 2.0423,                 1.4018,                 2.2031,                0.47974,                0.28863,                 0.2771,                0.17723,                 2.8074,                 3.1828,                 2.4969,             0.00044247,             0.00044247,             0.00044247
                      7,                 1.9815,                 1.2986,                 2.1723,                0.33743,                 0.3489,                 0.3384,                0.21118,                 2.8482,                 2.7398,                 2.4473,             0.00041336,             0.00041336,             0.00041336
                      8,                 1.8956,                 1.2228,                 2.1427,                0.60575,                0.33601,                0.34714,                0.20668,                 2.9847,                 3.0467,                 2.5567,             0.00038426,             0.00038426,             0.00038426
                      9,                 1.8604,                 1.1765,                 2.1188,                0.59287,                0.28746,                0.32868,                0.18272,                 3.2793,                 3.4777,                 2.6862,             0.00035515,             0.00035515,             0.00035515
                     10,                 1.8092,                  1.112,                 2.1082,                0.55546,                0.34936,                0.31527,                0.19375,                 2.8758,                  3.723,                 2.5658,             0.00032605,             0.00032605,             0.00032605
                     11,                 1.7333,                0.92481,                 2.0536,                0.40033,                0.39115,                0.36451,                0.22862,                 2.7419,                 3.2304,                 2.4975,             0.00029694,             0.00029694,             0.00029694
                     12,                 1.6853,                0.85519,                 2.0281,                0.63139,                0.34061,                0.35345,                0.21806,                 2.7508,                 3.6122,                 2.4969,             0.00026783,             0.00026783,             0.00026783
                     13,                 1.6274,                0.81308,                 2.0082,                0.55325,                0.32759,                 0.2955,                0.18409,                 2.9696,                 4.1671,                 2.6558,             0.00023873,             0.00023873,             0.00023873
                     14,                 1.5749,                0.77754,                 1.9811,                 0.6218,                0.31573,                0.33384,                0.20942,                 2.8024,                 3.4804,                 2.4855,             0.00020962,             0.00020962,             0.00020962
                     15,                 1.5234,                0.72704,                 1.9623,                0.62201,                0.35368,                0.37084,                0.23637,                 2.6262,                 3.2123,                 2.4028,             0.00018052,             0.00018052,             0.00018052
                     16,                 1.4722,                0.68744,                 1.9449,                0.59785,                0.30218,                0.32853,                0.20899,                 2.7633,                  3.495,                 2.4721,             0.00015141,             0.00015141,             0.00015141
                     17,                  1.435,                0.66512,                 1.9229,                0.60083,                0.34222,                0.34582,                0.21717,                 2.7946,                 3.4851,                 2.5059,              0.0001223,              0.0001223,              0.0001223
                     18,                 1.3988,                0.63656,                 1.9127,                0.58398,                0.35287,                0.35002,                0.22848,                 2.6575,                 3.6795,                 2.4094,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     19,                 1.3686,                0.62224,                 1.9012,                0.57843,                0.34766,                0.34077,                0.21928,                 2.7029,                 3.6588,                 2.4652,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     20,                 1.3248,                0.59335,                 1.8966,                0.59004,                0.33153,                  0.348,                0.22471,                 2.6838,                 3.7196,                 2.4721,             3.4986e-05,             3.4986e-05,             3.4986e-05
