                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6073,                 6.0729,                 2.5787,                0.48547,                0.21044,                0.21356,                0.13773,                 2.5555,                 3.9082,                 2.5106,             0.00019491,             0.00019491,             0.00019491
                      2,                 2.3329,                 3.2367,                 2.3801,                0.59454,                0.27547,                0.29424,                0.17529,                 3.0527,                 3.3945,                 2.5595,             0.00037156,             0.00037156,             0.00037156
                      3,                 2.2756,                 2.6419,                 2.3203,                 0.5685,                 0.2461,                0.27189,                 0.1619,                 2.9262,                 3.8054,                 2.6149,              0.0005288,              0.0005288,              0.0005288
                      4,                 2.2353,                 2.2455,                 2.2876,                0.57165,                0.30245,                0.30264,                0.18376,                 2.7324,                 3.2795,                  2.444,             0.00050068,             0.00050068,             0.00050068
                      5,                 2.1366,                 1.9569,                  2.234,                0.50547,                0.32597,                0.30462,                0.18968,                 2.8828,                 3.1776,                 2.5758,             0.00047158,             0.00047158,             0.00047158
                      6,                 2.0805,                 1.7736,                 2.2089,                0.55835,                0.33466,                0.33726,                0.20912,                 2.7835,                 2.7649,                 2.4276,             0.00044247,             0.00044247,             0.00044247
                      7,                 2.0313,                 1.6136,                 2.1851,                0.57401,                0.29236,                 0.3139,                0.19317,                 2.7769,                 3.7773,                 2.4834,             0.00041336,             0.00041336,             0.00041336
                      8,                 1.9586,                 1.5314,                 2.1535,                0.56177,                0.34963,                0.33819,                0.20047,                 2.8834,                 3.3699,                 2.5123,             0.00038426,             0.00038426,             0.00038426
                      9,                 1.9171,                 1.4502,                 2.1359,                0.63975,                 0.3038,                0.34856,                0.21183,                 2.9531,                 3.0363,                 2.4594,             0.00035515,             0.00035515,             0.00035515
                     10,                 1.8729,                 1.3832,                 2.1149,                0.61553,                0.37162,                0.37627,                0.23915,                 2.6487,                 3.3747,                 2.4505,             0.00032605,             0.00032605,             0.00032605
                     11,                 1.8051,                 1.1825,                 2.0708,                0.35156,                0.30845,                0.30497,                0.18639,                 2.7809,                 3.4494,                 2.5069,             0.00029694,             0.00029694,             0.00029694
                     12,                  1.752,                 1.0721,                 2.0469,                0.35457,                0.33602,                0.30885,                 0.1961,                 2.7071,                 3.9543,                 2.5201,             0.00026783,             0.00026783,             0.00026783
                     13,                 1.6972,                 1.0163,                 2.0275,                0.57191,                0.32453,                0.32342,                 0.2083,                 2.7575,                 2.9952,                 2.4407,             0.00023873,             0.00023873,             0.00023873
                     14,                 1.6414,                0.95894,                      2,                0.61505,                0.31121,                0.35344,                0.22324,                 2.7948,                 3.3245,                 2.4209,             0.00020962,             0.00020962,             0.00020962
                     15,                 1.5992,                0.91677,                 1.9833,                0.64083,                0.30563,                0.35466,                0.22634,                 2.7226,                 3.5566,                 2.4839,             0.00018052,             0.00018052,             0.00018052
                     16,                 1.5471,                0.86288,                 1.9662,                0.37374,                 0.3396,                0.33635,                0.20756,                 2.7407,                 3.8682,                 2.5181,             0.00015141,             0.00015141,             0.00015141
                     17,                  1.518,                0.83628,                 1.9496,                0.55835,                0.38341,                 0.3512,                0.23256,                 2.6533,                 3.0397,                 2.4175,              0.0001223,              0.0001223,              0.0001223
                     18,                 1.4693,                0.79216,                 1.9313,                0.35993,                0.33761,                0.33114,                0.21571,                 2.6381,                 3.4788,                 2.4351,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     19,                 1.4369,                0.78002,                 1.9226,                0.62336,                0.34175,                0.36304,                0.23112,                 2.7838,                 3.1345,                 2.4635,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     20,                 1.4016,                0.74822,                 1.9167,                0.36494,                0.36598,                0.35308,                0.22993,                 2.6998,                 3.4012,                 2.4278,             3.4986e-05,             3.4986e-05,             3.4986e-05
