                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3849,                 3.4935,                  2.726,                0.48382,                0.26622,                0.23045,                 0.1357,                 2.9412,                 4.5502,                 2.9137,             0.00019545,             0.00019545,             0.00019545
                      2,                 2.3695,                 2.1186,                 2.7079,                0.52263,                 0.2376,                0.23104,                0.11845,                  3.459,                  4.616,                 3.1943,             0.00037208,             0.00037208,             0.00037208
                      3,                 2.3136,                 1.9693,                 2.6819,                0.50807,                0.31888,                0.28199,                0.15279,                 3.3614,                 3.4851,                 3.1155,             0.00052929,             0.00052929,             0.00052929
                      4,                 2.2019,                 1.7905,                 2.6094,                0.52564,                0.33218,                0.30749,                0.18233,                 2.9294,                 3.2824,                 2.8662,             0.00050068,             0.00050068,             0.00050068
                      5,                  2.123,                 1.6052,                 2.5547,                0.58773,                 0.2838,                0.30374,                0.16998,                 3.3919,                  3.787,                 3.0171,             0.00047158,             0.00047158,             0.00047158
                      6,                 2.0314,                 1.4561,                 2.5074,                0.55473,                0.30761,                0.31129,                0.19513,                 2.8745,                  3.602,                 2.8064,             0.00044247,             0.00044247,             0.00044247
                      7,                 1.9823,                 1.3435,                 2.4729,                0.33576,                  0.386,                0.30535,                0.19188,                 2.8558,                 3.6022,                 2.8808,             0.00041336,             0.00041336,             0.00041336
                      8,                 1.9137,                 1.2755,                 2.4375,                 0.6024,                 0.3985,                0.39507,                  0.241,                  2.967,                 2.9962,                 2.8219,             0.00038426,             0.00038426,             0.00038426
                      9,                 1.8591,                 1.2061,                 2.3959,                0.63904,                0.34868,                0.37158,                0.22686,                 2.9117,                 3.6401,                 2.8632,             0.00035515,             0.00035515,             0.00035515
                     10,                 1.7983,                 1.1296,                 2.3613,                0.35809,                0.36624,                0.31992,                 0.2117,                 2.6946,                 3.7188,                 2.8571,             0.00032605,             0.00032605,             0.00032605
                     11,                 1.7644,                0.95512,                 2.3314,                0.61428,                 0.3246,                0.33944,                0.21663,                 2.7677,                 3.7333,                  2.782,             0.00029694,             0.00029694,             0.00029694
                     12,                 1.7259,                 0.8951,                 2.3107,                0.61366,                0.39122,                0.36142,                0.23732,                 2.8483,                 3.2213,                 2.7925,             0.00026783,             0.00026783,             0.00026783
                     13,                 1.6559,                0.82725,                 2.2696,                0.60446,                0.38456,                0.36177,                0.23674,                 2.8088,                 3.4421,                 2.8221,             0.00023873,             0.00023873,             0.00023873
                     14,                 1.6102,                0.77405,                 2.2391,                0.66766,                 0.3398,                0.39453,                0.25083,                 2.7838,                 3.7752,                  2.862,             0.00020962,             0.00020962,             0.00020962
                     15,                 1.5574,                0.74041,                 2.2171,                0.41274,                0.38407,                0.38917,                0.26122,                 2.6692,                 3.3632,                 2.7423,             0.00018052,             0.00018052,             0.00018052
                     16,                  1.511,                 0.7001,                 2.1965,                0.46915,                0.37551,                0.40921,                0.25818,                 2.7633,                  3.303,                 2.7733,             0.00015141,             0.00015141,             0.00015141
                     17,                 1.4623,                0.65331,                 2.1538,                0.48298,                0.35592,                0.38815,                0.24277,                 2.7289,                 3.5976,                 2.7862,              0.0001223,              0.0001223,              0.0001223
                     18,                 1.4154,                0.63005,                 2.1263,                 0.6671,                0.38325,                  0.401,                 0.2611,                 2.5485,                 3.4083,                 2.6836,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     19,                 1.3722,                0.59599,                 2.1084,                0.65818,                 0.3933,                0.40642,                 0.2705,                 2.6613,                 3.3952,                 2.7008,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     20,                 1.3372,                0.57542,                 2.0983,                0.68672,                0.39377,                0.42162,                0.28186,                 2.6698,                 3.3365,                  2.697,             3.4986e-05,             3.4986e-05,             3.4986e-05
